"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"2981","94197975","1104137141116760066",2019-03-08 21:49:42,"LLRadcliff","@artsytype_83 @Jason__Watkins I'm so sorry. Lost my Mom in 2007 when she was just 64 &amp; healthy. Thought she just had a standard case of flu, then suddenly took a terrible turn for the worse--sepsis. She fought for 17 days in ICU. Always encouraged by ANY news stories, as people NEED to understand the danger.","Twitter Web Client",-105.084423,40.5852602,"203 S Sherwood St, Fort Collins, CO 80521, USA","Colorado"
"2982","4534654274","1104137139325931520",2019-03-08 21:49:42,"jnnyjny","Pro tip (from my doc) to everyone over 50. The second your flu or cold goes to your lungs go to the dr and you will prob get a zpack antibiotics. I got walking pneumonia when I was 60 and realize now how close I was to this. ⁦@WhoopiGoldberg⁩  https://t.co/MHVPwG4PKU","Twitter for iPhone",-104.990251,39.7392358,"1437 Bannock St, Denver, CO 80202, USA","Colorado"
"2983","31048510","1104137043288956928",2019-03-08 21:49:19,"beamteamtn","I want to apologize to all the folks I hugged, shook your hand yesterday or breathed the same air! I have the FLU type A. Here are my symptoms - stuffy nose,… https://t.co/5Jzzwjc4vn","Instagram",-86.39027,35.8456213,"120 E Main St, Murfreesboro, TN 37130, USA","Tennessee"
"2984","23080244","1104137009399037958",2019-03-08 21:49:11,"CookingLight","We are more than ready for flu season to come to an end, but unfortunately, it's as strong as it's been all winter: https://t.co/xfjd5g4j4F","SocialFlow",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2986","314984651","1104136992395268096",2019-03-08 21:49:07,"ConiDeLisleCown","Please pray for my sis Karen Aue.  She is in so much pain and I believe has the flu to the maximum degree.  It's not pretty!!","Facebook",-87.4139092,39.4667034,"201 Cherry St, Terre Haute, IN 47807, USA","Indiana"
"2987","21247608","1104136942675910657",2019-03-08 21:48:55,"Anarisis","I may have, like, the Spanish Flu or something, but San Francisco is beautiful today.","Twitter for Android",-122.4194155,37.7749295,"Unnamed Road, San Francisco, CA 94102, USA","California"
"2988","1098804851662671874","1104136933398081537",2019-03-08 21:48:53,"Bow4Meow","@ChadinRipCity Yes, I could, if congestion meant more than a runny nose, as you're most familiar with. Congestion in Moe's case could have meant something you're not informed enough about to be critical of. 
If Moe had the flu, you'd blame his immune system.","Twitter Web Client",-120.5542012,43.8041334,"34400 Central Oregon Hwy, Brothers, OR 97712, USA","Oregon"
"2989","4473840407","1104136890549190656",2019-03-08 21:48:43,"bethlehembottom","@OzBarebacker hope i can get the fuck flu before easter anyone willing to help out ?","Twitter Web App",-75.3761952,40.5967701,"Mountain Dr N, Bethlehem, PA 18015, USA","Pennsylvania"
"2990","803343230","1104136844147474432",2019-03-08 21:48:32,"lenabeana0","I have a 5 page paper to write today which is due tonight and normally 5 pages is a breeze for me but this flu is taking a lot out of me","Twitter for iPhone",-118.1541632,34.6867846,"1304 W Ave J, Lancaster, CA 93534, USA","California"
"2991","2906160959","1104136497731694593",2019-03-08 21:47:09,"StonedWallwVa","US Government Approves Experiment to Create a Type of Bird Flu that Could ‘kill millions of people’ https://t.co/JuWIyMThcC","Facebook",-80.4549026,38.5976262,"Unnamed Road, Hacker Valley, WV 26222, USA","West Virginia"
"2993","63493530","1104136431667040256",2019-03-08 21:46:53,"roboeamerican","Flu season has peaked, but nasty strain is on rise: report https://t.co/SDHAnXe2Vv #FoxNews","Twitter Web Client",-119.4179324,36.778261,"2630 Croydon Drive, Sanger, CA 93657, USA","California"
"2994","14303901","1104136371986284544",2019-03-08 21:46:39,"jhamby","I got a flu shot today while I was at the doctor's office for a check-up, so the mind control nanobots are kicking in right now. 😉","Twitter for Android",-118.2436849,34.0522342,"106 W 1st St, Los Angeles, CA 90012, USA","California"
"2995","506391097","1104135955617845248",2019-03-08 21:45:00,"KLBKNews","#Flu may have peaked, but experts eye jump in nastier strain https://t.co/1EBlk7xnVh","SocialNewsDesk",-101.8551665,33.5778631,"Ave. Q & 19th, Lubbock, TX 79411, USA","Texas"
"2996","963513024287072262","1104135648129122305",2019-03-08 21:43:47,"IBMSDrC","Elderberries are more effective than vaccines at protecting you against colds and flu https://t.co/ALA7vYqjUX","Facebook",-95.712891,37.09024,"5000 Estate Enighed, Independence, KS 67301, USA","Kansas"
"2997","1099857428286488576","1104135614004375553",2019-03-08 21:43:38,"Kayleig90019871","@YTZAILETSPLAY2 @ashelycoin Flu*","Twitter for Android",-93.097702,41.8780025,"3291 Hart Ave, Melbourne, IA 50162, USA","Iowa"
"2998","155255362","1104135599714271232",2019-03-08 21:43:35,"Bolick4AZ","@jeremiahcota @TravisGrantham @beckynutt3 @votewarren @KellyTownsend11 @michudall @JeffWeninger I will stick with my faux milk while I am out with the flu bug. 😷 https://t.co/Ld67CddL7p","Twitter for iPhone",-112.0740373,33.4483771,"22 W Washington St, Phoenix, AZ 85004, USA","Arizona"
